condition,architecture,seed,agents,tasks,margin,safe_completion_rate,raw_completion_rate,constraint_violation_rate,compromised_assignment_rate,messages_per_safe_completion,messages,contract_fields_transmitted,false_rejection_rate,strategy_entropy,unavailable_task_rate
benign,peer_reputation,3900000,500,1200,0,0.8991666666666667,0.9991666666666666,0.10008340283569642,0.0,16.78035217794254,18106,0,0.0,0.990615418258306,0.0
benign,constraint_contract,3900000,500,1200,0,0.9516666666666667,0.9758333333333333,0.024765157984628524,0.0,14.74430823117338,16838,72000,0.022785840227858404,0.9923787209325451,0.01
benign,peer_reputation,3910007,500,1200,0,0.8958333333333334,0.9991666666666666,0.10341951626355296,0.0,16.593488372093024,17838,0,0.0,0.9882425746712036,0.0
benign,constraint_contract,3910007,500,1200,0,0.9516666666666667,0.9725,0.021422450728363324,0.0,14.626970227670753,16704,72000,0.022272910237488258,0.9955196878226626,0.008333333333333333
benign,peer_reputation,3920014,500,1200,0,0.9066666666666666,0.9991666666666666,0.09257714762301918,0.0,16.737132352941178,18210,0,0.0,0.993865362499322,0.0
benign,constraint_contract,3920014,500,1200,0,0.955,0.9833333333333333,0.0288135593220339,0.0,14.616928446771379,16751,72000,0.025565912117177098,0.9960290321632063,0.005833333333333334
benign,peer_reputation,3930021,500,1200,0,0.8975,0.9991666666666666,0.10175145954962468,0.0,16.62581244196843,17906,0,0.0,0.9977888901657591,0.0
benign,constraint_contract,3930021,500,1200,0,0.9558333333333333,0.9808333333333333,0.025488530161427356,0.0,14.657367044463818,16812,72000,0.022053032291940142,0.9939336653832084,0.008333333333333333
benign,peer_reputation,3940028,500,1200,0,0.9175,0.9991666666666666,0.0817347789824854,0.0,16.376021798365123,18030,0,0.0,0.9980662058789846,0.0
benign,constraint_contract,3940028,500,1200,0,0.9516666666666667,0.9808333333333333,0.029736618521665252,0.0,14.633975481611209,16712,72000,0.022082843329413303,0.9874625834385287,0.011666666666666667
benign,peer_reputation,3950035,500,1200,0,0.8958333333333334,1.0,0.10416666666666667,0.0,16.788837209302326,18048,0,0.0,0.9933740155916414,0.0
benign,constraint_contract,3950035,500,1200,0,0.9391666666666667,0.9683333333333334,0.030120481927710843,0.0,14.771073646850045,16647,72000,0.023931387467146216,0.9942420584741466,0.015833333333333335
benign,peer_reputation,3960042,500,1200,0,0.9008333333333334,1.0,0.09916666666666667,0.0,16.880666049953746,18248,0,0.0,0.9877350820771528,0.0
benign,constraint_contract,3960042,500,1200,0,0.9425,0.9608333333333333,0.019080659150043366,0.0,14.827586206896552,16770,72000,0.024029323920716807,0.9830198743291868,0.023333333333333334
benign,peer_reputation,3970049,500,1200,0,0.905,0.9991666666666666,0.09424520433694746,0.0,16.576427255985266,18002,0,0.0,0.9981830221279951,0.0
benign,constraint_contract,3970049,500,1200,0,0.9466666666666667,0.9741666666666666,0.028229255774165955,0.0,14.734154929577464,16738,72000,0.024633912686465035,0.9988366958093036,0.01
benign,peer_reputation,3980056,500,1200,0,0.905,1.0,0.095,0.0,16.578268876611418,18004,0,0.0,0.9967925747211479,0.0
benign,constraint_contract,3980056,500,1200,0,0.9391666666666667,0.9658333333333333,0.027610008628127698,0.0,14.902395740905058,16795,72000,0.02385171050838217,0.9971247579427951,0.020833333333333332
