condition,seed,fixed_priority_critical_fcq_rate,fixed_priority_high_hostility_fcq_rate,fixed_priority_mean_critical_covariance,fixed_priority_low_value_task_fraction,fixed_priority_assignments_per_step,fixed_priority_median_shift_response_delay,fixed_priority_missed_shift_count,fixed_priority_critical_track_count,fixed_priority_track_count,greedy_uncertainty_critical_fcq_rate,greedy_uncertainty_high_hostility_fcq_rate,greedy_uncertainty_mean_critical_covariance,greedy_uncertainty_low_value_task_fraction,greedy_uncertainty_assignments_per_step,greedy_uncertainty_median_shift_response_delay,greedy_uncertainty_missed_shift_count,greedy_uncertainty_critical_track_count,greedy_uncertainty_track_count,adaptive_sensor_manager_critical_fcq_rate,adaptive_sensor_manager_high_hostility_fcq_rate,adaptive_sensor_manager_mean_critical_covariance,adaptive_sensor_manager_low_value_task_fraction,adaptive_sensor_manager_assignments_per_step,adaptive_sensor_manager_median_shift_response_delay,adaptive_sensor_manager_missed_shift_count,adaptive_sensor_manager_critical_track_count,adaptive_sensor_manager_track_count
nominal,3900000,0.8597560975609756,0.9476275738585497,0.6986397338271644,0.38098765432098763,27.0,3.0,1,39,44,0.994261119081779,1.0,0.27034231098902933,0.0728395061728395,27.0,0.0,0,39,44,0.9992826398852224,1.0,0.5349565734688732,0.0842876775080165,14.553333333333333,0.0,0,39,44
nominal,3910007,0.8410493827160493,0.940293171254916,0.9267185441737273,0.2797530864197531,27.0,3.0,3,45,50,0.9959876543209877,1.0,0.30353760868885965,0.03481481481481481,27.0,0.0,0,45,50,0.9993827160493827,1.0,0.5591897058029922,0.05776587605202754,17.426666666666666,0.0,0,45,50
nominal,3920014,0.9034900284900285,0.9560862865947611,0.544511777027449,0.2876543209876543,27.0,2.0,1,38,45,0.9978632478632479,1.0,0.2503788802091068,0.04567901234567901,27.0,0.0,0,38,45,0.9996438746438746,1.0,0.5509255869165202,0.053603603603603604,14.8,0.0,0,38,45
nominal,3930021,0.9035234899328859,0.9543828264758497,0.5405805228908032,0.41901234567901235,27.0,2.0,1,38,49,0.9987416107382551,1.0,0.2812779010332971,0.07555555555555556,27.0,0.0,0,38,49,1.0,1.0,0.5299094980663995,0.06835330670217488,15.02,0.0,0,38,49
nominal,3940028,0.8801261829652997,0.9552605703048181,0.6177941100058587,0.4204938271604938,27.0,2.0,2,36,42,0.9917192429022083,1.0,0.27089576498549833,0.07703703703703704,27.0,0.0,0,36,42,0.998422712933754,1.0,0.5395802120871023,0.09794553272814142,13.953333333333333,0.0,0,36,42
nominal,3950035,0.8694929343308395,0.9503759398496241,0.6695649859603349,0.42691358024691356,27.0,3.0,4,35,37,0.9929343308395677,1.0,0.25240405029152274,0.09061728395061729,27.0,0.0,0,35,37,0.9987531172069826,1.0,0.540193245523113,0.08575727181544635,13.293333333333333,0.0,0,35,37
nominal,3960042,0.9087858450274557,0.9500513171399247,0.4667032056702496,0.328641975308642,27.0,3.0,3,47,53,0.9942037827943868,1.0,0.2974692260661388,0.03950617283950617,27.0,0.0,0,47,53,0.9984746796827334,1.0,0.535726923719938,0.0724581223217764,17.113333333333333,0.0,0,47,53
nominal,3970049,0.8740157480314961,0.9368471035137702,0.5275440287331118,0.4120987654320988,27.0,3.0,1,37,47,0.9892627057981389,1.0,0.2732453193851997,0.07802469135802469,27.0,0.0,0,37,47,0.9964209019327129,1.0,0.5723462163478922,0.10720720720720721,14.8,0.0,0,37,47
nominal,3980056,0.9230164964650432,0.9516200621393698,0.4018803413590328,0.42419753086419754,27.0,3.0,0,36,46,0.9933228593872742,1.0,0.2642479895617258,0.05506172839506173,27.0,0.0,0,36,46,0.9984289080911233,1.0,0.5255866940277037,0.06489409643983776,14.793333333333333,0.0,0,36,46
nominal,3990063,0.9038655462184874,0.9518205222508275,0.4940340256154865,0.2967901234567901,27.0,3.0,2,40,42,0.9973109243697479,1.0,0.26108201715503726,0.05654320987654321,27.0,0.0,0,40,42,0.9996638655462184,1.0,0.5272583175178412,0.05150410209662717,14.626666666666667,0.0,0,40,42
nominal,4000070,0.9187725631768953,0.9596873714520774,0.458524483431498,0.29012345679012347,27.0,3.0,0,32,39,0.9913357400722022,1.0,0.25943697659499043,0.06469135802469136,27.0,0.0,0,32,39,0.9967509025270758,1.0,0.5277259665668896,0.08368996671421779,14.02,0.0,0,32,39
nominal,4010077,0.9035532994923858,0.9538653366583542,0.5019692508478785,0.3654320987654321,27.0,3.0,1,38,43,0.9909354604786077,1.0,0.26839998456181896,0.06345679012345679,27.0,0.0,0,38,43,0.9974619289340102,1.0,0.5383201920933571,0.05985267034990792,14.48,0.0,0,38,43
nominal,4020084,0.8359788359788359,0.9458054936896808,0.712958407939471,0.2940740740740741,27.0,3.0,2,39,48,0.9905937683715461,1.0,0.302754488421222,0.031358024691358025,27.0,0.0,0,39,48,0.9973544973544973,1.0,0.5719105093892056,0.08386075949367089,16.85333333333333,0.0,0,39,48
nominal,4030091,0.870429252782194,0.9502369668246445,0.6674977210378694,0.3511111111111111,27.0,3.0,3,34,40,0.994435612082671,1.0,0.24362802667502836,0.08246913580246913,27.0,0.0,0,34,40,0.9992050874403816,1.0,0.5342506560500665,0.048985650667986144,13.473333333333333,0.0,0,34,40
